﻿icd_code,cn_title
A00,"霍乱"
A000,"霍乱弧菌 01 引起的霍乱，生物型霍乱"
A001,"霍乱弧菌 01 引起的霍乱，生物型型 eltor"
A009,"霍乱，未指定"
A01,"伤寒和副伤寒"
A010,"伤寒"
A0100,"伤寒，未指明"
A0101,"伤寒脑膜炎"
A0102,"伤寒伴心脏受累"
A0103,"伤寒肺炎"
A0104,"伤寒关节炎"
A0105,"伤寒骨髓炎"
A0109,"伤寒伴其他并发症"
A011,"副伤寒 A"
A012,"副伤寒 B"
A013,"副伤寒丙型"
A014,"副伤寒，未指明"
A02,"其他沙门氏菌感染"
A020,"沙门氏菌肠炎"
A021,"沙门氏菌败血症"
A022,"局部沙门氏菌感染"
A0220,"局部沙门菌感染，未明确"
A0221,"沙门菌脑膜炎"
A0222,"沙门菌肺炎"
A0223,"沙门菌关节炎"
A0224,"沙门菌骨髓炎"
A0225,"沙门氏菌肾盂肾炎"
A0229,"沙门氏菌伴其他局部感染"
A028,"其他特定的沙门菌感染"
A029,"沙门氏菌感染，未指定"
A03,"志贺氏菌病"
A030,"痢疾志贺菌引起的志贺菌病"
A031,"福氏志贺氏菌引起的志贺氏菌病"
A032,"博伊志贺氏菌引起的志贺氏菌病"
A033,"宋内志贺氏菌引起的志贺氏菌病"
A038,"其他志贺菌病"
A039,"志贺菌病，未指定"
A04,"其他细菌性肠道感染"
A040,"肠致病性大肠埃希菌感染"
A041,"产肠毒素大肠埃希菌感染"
A042,"肠道侵袭性大肠埃希菌感染"
A043,"肠出血性大肠埃希菌感染"
A044,"其他肠道大肠埃希菌感染"
A045,"弯曲杆菌肠炎"
A046,"小肠结肠炎耶尔森菌引起的肠炎"
A047,"艰难梭菌引起的小肠结肠炎"
A0471,"艰难梭菌引起的小肠结肠炎，复发性"
A0472,"艰难梭菌引起的小肠结肠炎，未指定为复发性"
A048,"其他特定的细菌性肠道感染"
A049,"细菌性肠道感染，未指定"
A05,"其他未分类的细菌性食源性中毒"
A050,"食源性葡萄球菌中毒"
A051,"肉毒杆菌中毒食物中毒"
A052,"食源性产气荚膜梭菌 [Clostridium welchii] 中毒"
A053,"食源性副溶血性弧菌中毒"
A054,"食源性蜡样芽孢杆菌中毒"
A055,"食源性创伤弧菌中毒"
A058,"其他指明的细菌性食源性中毒"
A059,"细菌性食源性中毒，未指定"
A06,"阿米巴病"
A060,"急性阿米巴痢疾"
A061,"慢性肠道阿米巴病"
A062,"阿米巴非痢疾性结肠炎"
A063,"肠阿米巴瘤"
A064,"阿米巴肝脓肿"
A065,"阿米巴肺脓肿"
A066,"阿米巴脑脓肿"
A067,"皮肤阿米巴病"
A068,"其他部位的阿米巴感染"
A0681,"阿米巴膀胱炎"
A0682,"其他阿米巴泌尿生殖系统感染"
A0689,"其他阿米巴感染"
A069,"阿米巴病，未指定"
A07,"其他原生动物肠道疾病"
A070,"Balantidias病"
A071,"贾第鞭毛虫病 [lambliasis]"
A072,"隐孢子虫病"
A073,"同孢子虫病"
A074,"环孢子虫病"
A078,"其他特定的原生动物肠道疾病"
A079,"原生动物肠道疾病，未指定"
A08,"病毒和其他特定的肠道感染"
A080,"轮状病毒性肠炎"
A081,"由 Norwalk 剂和其他小圆病毒引起的急性胃肠病"
A0811,"Norwalk 药物引起的急性胃肠病"
A0819,"其他小圆病毒引起的急性胃肠病"
A082,"腺病毒性肠炎"
A083,"其他病毒性肠炎"
A0831,"杯状病毒性肠炎"
A0832,"星状病毒肠炎"
A0839,"其他病毒性肠炎"
A084,"病毒性肠道感染，未明确"
A088,"其他特定的肠道感染"
A09,"感染性胃肠炎和结肠炎，未指定"
A15,"呼吸道结核病"
A150,"肺结核"
A154,"胸腔内淋巴结结核"
A155,"喉、气管和支气管结核"
A156,"结核性胸膜炎"
A157,"原发性呼吸道结核"
A158,"其他呼吸道结核病"
A159,"未分类的呼吸道结核病"
A17,"神经系统结核病"
A170,"结核性脑膜炎"
A171,"脑膜结核瘤"
A178,"神经系统的其他结核病"
A1781,"脑和脊髓结核瘤"
A1782,"结核性脑膜脑炎"
A1783,"结核性神经炎"
A1789,"神经系统的其他结核病"
A179,"神经系统结核病，未指定"
A18,"其他器官结核病"
A180,"骨骼和关节结核"
A1801,"脊柱结核"
A1802,"其他关节的结核性关节炎"
A1803,"其他骨骼结核"
A1809,"其他肌肉骨骼结核病"
A181,"泌尿生殖系统结核病"
A1810,"泌尿生殖系统结核病，未明确"
A1811,"肾结核和输尿管结核"
A1812,"膀胱结核"
A1813,"其他泌尿器官结核病"
A1814,"前列腺结核"
A1815,"其他男性生殖器官的结核病"
A1816,"宫颈结核"
A1817,"结核性女性盆腔炎性疾病"
A1818,"其他女性生殖器官的结核病"
A182,"结核性外周淋巴结肿大"
A183,"肠、腹膜和肠系膜腺结核"
A1831,"结核性腹膜炎"
A1832,"结核性肠炎"
A1839,"腹膜后结核病"
A184,"皮肤和皮下组织结核"
A185,"眼结核"
A1850,"眼结核，未指定"
